text,true_labels,predicted_labels,top_confidence,exact_match
TrickBot has the ability to capture RDP credentials by capturing the CredEnumerateA API,collection|credential-access,credential-access,0.9941800832748412,False
MirrorFace has used a tool named MRSAStealer as a password filter to collect credentials on password changes.,credential-access|defense-impairment|persistence,credential-access,0.9937345385551452,False
"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes.",initial-access|persistence|privilege-escalation|stealth,credential-access,0.99285089969635,False
Empire can enumerate Security Support Providers (SSPs) as well as utilize PowerSploit's Install-SSP and Invoke-Mimikatz to install malicious SSPs and log authentication events.,persistence|privilege-escalation,discovery,0.9927951693534852,False
Pupy can sniff plaintext network credentials and use NBNS Spoofing to poison name services.,collection|credential-access,credential-access,0.9924227595329284,False
Keydnap prompts the users for credentials.,collection|credential-access,credential-access,0.9922444224357604,False
Sykipot contains keylogging functionality to steal passwords.,collection|credential-access,credential-access,0.9922143816947936,False
Empire can use Inveigh to conduct name service poisoning for credential theft and associated relay attacks.,collection|credential-access,credential-access,0.991906762123108,False
"StrelaStealer enumerates the registry key `HKCU\SOFTWARE\Microsoft\Office\16.0\Outlook\Profiles\Outlook\9375CFF0413111d3B88A00104B2A6676\` to identify the values for ""IMAP User,"" ""IMAP Server,"" and ""IMAP Password"" associated with the Outlook email application.",credential-access,discovery,0.991906762123108,False
AADInternals can directly download cloud user data such as OneDrive files.,exfiltration,command-and-control,0.9916841983795166,False
Pupy has a module that checks a number of indicators on the system to determine if its running on a virtual machine.,discovery|stealth,discovery,0.99161958694458,False
Cuckoo Stealer can capture files from a targeted user's keychain directory.,credential-access,collection,0.9914886951446532,False
Emotet has been observed to hook network APIs to monitor network traffic.,credential-access|discovery,discovery,0.9911182522773744,False
P8RAT can check the compromised host for processes associated with VMware or VirtualBox environments.,discovery|stealth,discovery,0.9911182522773744,False
Latrodectus has routed C2 traffic using Keyhole VNC.,lateral-movement,command-and-control,0.9908034801483154,False
Penquin can sniff network traffic to look for packets matching specific conditions.,credential-access|discovery,discovery,0.9906237721443176,False
Koadic can download files off the target system to send back to the server.,collection,command-and-control,0.9905142784118652,False
"NPPSPY captures credentials by recording them through an alternative network listener registered to the mpnotify.exe process, allowing for cleartext recording of logon information.",credential-access,collection,0.9901782274246216,False
"Penquin will connect to C2 only after sniffing a ""magic packet"" value in TCP or UDP packets matching specific conditions.",command-and-control|persistence|stealth,command-and-control,0.9900636076927184,False
"Emotet has maintained persistence through a scheduled task, e.g. though a .dll file in the Registry.",execution|persistence|privilege-escalation,persistence|privilege-escalation,0.9897116422653198,False
"Dridex can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.",collection,credential-access,0.9895108342170716,False
DarkTortilla can detect profilers by verifying the `COR_ENABLE_PROFILING` environment variable is present and active.,execution|stealth,discovery,0.9891815781593324,False
StrelaStealer payloads have used control flow obfuscation techniques such as excessively long code blocks of mathematical instructions to defeat sandboxing and related analysis methods.,discovery|stealth,stealth,0.9890553951263428,False
Qilin has pushed a scheduled task via a Group Policy Object for payload execution.,defense-impairment|privilege-escalation,persistence|privilege-escalation,0.988711953163147,False
FIN6 has used Metasploit’s PsExec NTDSGRAB module to obtain a copy of the victim's Active Directory database.,discovery,credential-access,0.9885804057121276,False
Downdelph bypasses UAC to escalate privileges by using a custom “RedirectEXE” shim database.,privilege-escalation,persistence|privilege-escalation,0.9885804057121276,False
"DarkTortilla can search a compromised system's running processes and services to detect Hyper-V, QEMU, Virtual PC, Virtual Box, and VMware, as well as Sandboxie.",discovery|stealth,discovery,0.9884918928146362,False
"Empire can automatically gather the username, domain name, machine name, and other information from a compromised system.",collection,discovery,0.9884918928146362,False
MirrorFace has used RDP to exfiltrate files of interest.,lateral-movement,exfiltration,0.9883578419685364,False
"During Operation Dream Job, Lazarus Group used tools that conducted a variety of system checks to detect sandboxes or VMware services.",discovery|stealth,discovery,0.9880849719047546,False
"An older version of CHOPSTICK has a module that monitors all mounted volumes for files with the extensions .doc, .docx, .pgp, .gpg, .m2f, or .m2o.",discovery,collection,0.9879926443099976,False
"UBoatRAT checks for virtualization software such as VMWare, VirtualBox, or QEmu on the compromised machine.",discovery|stealth,discovery,0.9879462122917176,False
Stuxnet encrypts exfiltrated data via C2 with static 31-byte long XOR keys.,collection,exfiltration,0.9878996014595032,False
LazyWiper can enumerate the hostname of the system to determine if it is a domain controller and exclude it from being wiped if so.,stealth,discovery,0.9878528118133544,False
Troll Stealer collects all data in victim `.ssh` folders by creating a compressed copy that is subsequently exfiltrated to command and control infrastructure. Troll Stealer also collects key information associated with the Government Public Key Infrastructure (GPKI) service for South Korean government information systems.,credential-access,collection,0.9878528118133544,False
APT33 has used SniffPass to collect credentials by sniffing network traffic.,credential-access|discovery,credential-access,0.9878528118133544,False
OopsIE performs several anti-VM and sandbox checks on the victim's machine. One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it’s running in a virtual environment.,discovery|stealth,discovery,0.9877586960792542,False
TA551 has used spoofed company emails that were acquired from email clients on previously infected hosts to target other individuals.,reconnaissance,initial-access,0.987616240978241,False
FIN13 has replaced legitimate KeePass binaries with trojanized versions to collect passwords from numerous applications.,credential-access|defense-impairment|persistence,credential-access,0.987616240978241,False
Some SeaDuke samples have a module to use pass the ticket with Kerberos for authentication.,lateral-movement,credential-access,0.9875683188438416,False
"One variant of BlackEnergy locates existing driver services that have been disabled and drops its driver component into one of those service's paths, replacing the legitimate executable. The malware then sets the hijacked service to start automatically to establish persistence.",execution|stealth,persistence|privilege-escalation,0.9875203371047974,False
Impacket modules like ntlmrelayx and smbrelayx can be used in conjunction with Network Sniffing and Name Resolution Poisoning and SMB Relay to gather NetNTLM credentials for Brute Force or relay attacks that can gain code execution.,collection|credential-access,credential-access,0.987472116947174,False
