text,true_labels,predicted_labels,max_confidence,source_name,technique_id,technique_name
DarkTortilla has modified registry keys for persistence.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,0.9999140843256258,DarkTortilla,T1112,Modify Registry
"LockBit 3.0 can change the Registry values for Group Policy refresh time, to disable SmartScreen, and to disable Windows Defender.",defense-impairment|persistence,defense-impairment,0.9998898997813173,LockBit 3.0,T1112,Modify Registry
"Pupy can send screenshots files, keylogger data, files, and recorded audio back to the C2 server.",exfiltration,collection|exfiltration,0.9998642091058462,Pupy,T1041,Exfiltration Over C2 Channel
Qilin has been delivered to victims through spearphishing emails with malicious attachments.,execution,initial-access,0.9998358929525273,Qilin,T1204.002,Malicious File
KGH_SPY can exfiltrate collected information from the host to the C2 server.,exfiltration,collection|exfiltration,0.9998307012168368,KGH_SPY,T1041,Exfiltration Over C2 Channel
APT19 configured its payload to inject into the rundll32.exe.,stealth,privilege-escalation|stealth,0.9998231532195362,APT19,T1218.011,Rundll32
GrimAgent can set persistence with a Registry run key.,persistence|privilege-escalation,defense-impairment|persistence|privilege-escalation,0.9997496579681412,GrimAgent,T1547.001,Registry Run Keys / Startup Folder
Crutch can exfiltrate data over the primary C2 channel (Dropbox HTTP API).,exfiltration,command-and-control|exfiltration,0.9996448217741877,Crutch,T1041,Exfiltration Over C2 Channel
Crutch has automatically exfiltrated stolen files to Dropbox.,exfiltration,collection|exfiltration,0.9995958705078477,Crutch,T1020,Automated Exfiltration
LockBit 2.0 can create Registry keys to bypass UAC and for persistence.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,0.9994336742832177,LockBit 2.0,T1112,Modify Registry
Kazuar stages command output and collected data in files before exfiltration.,collection,collection|exfiltration,0.9994207702406638,Kazuar,T1074.001,Local Data Staging
TEARDROP modified the Registry to create a Windows service for itself on a compromised host.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,0.9993426910973052,TEARDROP,T1112,Modify Registry
KOPILUWAK has used HTTP POST requests to send data to C2.,command-and-control,command-and-control|exfiltration,0.999333901853196,KOPILUWAK,T1071.001,Web Protocols
APT38 has used web shells for persistence or to ensure redundant access.,persistence,persistence|privilege-escalation,0.999266781408629,APT38,T1505.003,Web Shell
"StrelaStealer has sideloaded a DLL payload using a renamed, legitimate `msinfo32.exe` executable.",execution|stealth,stealth,0.9992458926744346,StrelaStealer,T1574.001,DLL
Lizar has used the Reflective DLL injection module from Github to inject itself into a process’s memory.,stealth,privilege-escalation|stealth,0.9991371840406202,Lizar,T1620,Reflective Code Loading
TONESHELL has created a malicious service DISMsrv to maintain persistence.,persistence|privilege-escalation,execution|persistence|privilege-escalation,0.999036270388378,TONESHELL,T1543.003,Windows Service
CrackMapExec can pass the hash to authenticate via SMB.,lateral-movement,credential-access|lateral-movement,0.9989951487796288,CrackMapExec,T1550.002,Pass the Hash
Grandoreiro can steal cookie data and credentials from Google Chrome.,credential-access,collection|credential-access,0.998924833098367,Grandoreiro,T1555.003,Credentials from Web Browsers
Lateral movement can be done with Net through net use commands to connect to the on remote systems.,lateral-movement,command-and-control|lateral-movement,0.9987496042073308,Net,T1021.002,SMB/Windows Admin Shares
TrickBot used COM to setup scheduled task for persistence.,execution,execution|persistence|privilege-escalation,0.9987405453531218,TrickBot,T1559.001,Component Object Model
Indrik Spider has used valid accounts for initial access and lateral movement. Indrik Spider has also maintained access to the victim environment through the VPN infrastructure.,initial-access|persistence|privilege-escalation|stealth,initial-access|lateral-movement|persistence|privilege-escalation|stealth,0.998728511508956,Indrik Spider,T1078,Valid Accounts
KGH_SPY can collect credentials from the Windows Credential Manager.,credential-access,collection|credential-access,0.998708982291021,KGH_SPY,T1555.004,Windows Credential Manager
"SideCopy has compromised domains for some of their infrastructure, including for C2 and staging malware.",resource-development,command-and-control|resource-development,0.9986582953493736,SideCopy,T1584.001,Domains
APT29 has gained access to a global administrator account in Azure AD and has used `Service Principal` credentials in Exchange.,initial-access|persistence|privilege-escalation|stealth,credential-access|initial-access|persistence|privilege-escalation|stealth,0.9986131680202864,APT29,T1078.004,Cloud Accounts
Akira uses compromised VPN accounts for initial access to victim networks.,initial-access|persistence,initial-access|persistence|privilege-escalation|resource-development,0.9982825916081693,Akira,T1133,External Remote Services
Psylo exfiltrates data to its C2 server over the same protocol as C2 communications.,exfiltration,command-and-control|exfiltration,0.9981970001114076,Psylo,T1041,Exfiltration Over C2 Channel
MgBot includes modules for dumping and capturing credentials from process memory.,credential-access,collection|credential-access,0.9980365470225446,MgBot,T1003,OS Credential Dumping
LAPSUS$ has accessed local password managers and databases to obtain further credentials from a compromised network.,credential-access,collection|credential-access,0.997962907754602,LAPSUS$,T1555.005,Password Managers
NETWIRE can automatically archive collected data.,collection,collection|exfiltration,0.997911420094582,NETWIRE,T1119,Automated Collection
KGH_SPY can send data to C2 with HTTP POST requests.,command-and-control,command-and-control|exfiltration,0.9979046820399522,KGH_SPY,T1071.001,Web Protocols
NPPSPY records data entered from the local system logon at Winlogon to capture credentials in cleartext.,collection,collection|credential-access,0.997845317136573,NPPSPY,T1005,Data from Local System
"Qilin can inject pwndll.dll, a patched DLL from the legitimate DLL WICloader.dll, into svchost.exe for continuous execution.",privilege-escalation|stealth,execution|privilege-escalation|stealth,0.9977804254771983,Qilin,T1055.001,Dynamic-link Library Injection
MirrorFace has used a tool named MRSAStealer as a password filter to collect credentials on password changes.,credential-access|defense-impairment|persistence,credential-access,0.9977715428797849,MirrorFace,T1556.002,Password Filter DLL
FIN6 has collected and exfiltrated payment card data from compromised systems.,collection,collection|exfiltration,0.997746395209544,FIN6,T1005,Data from Local System
RogueRobin created a shortcut in the Windows startup folder to launch a PowerShell script each time the user logs in to establish persistence.,persistence|privilege-escalation,execution|persistence|privilege-escalation,0.9977076953610802,RogueRobin,T1547.001,Registry Run Keys / Startup Folder
FIN13 has remotely accessed compromised environments via Remote Desktop Services (RDS) for lateral movement.,lateral-movement,initial-access|lateral-movement|persistence,0.9976208622520593,FIN13,T1021.001,Remote Desktop Protocol
Qilin has pushed a scheduled task via a Group Policy Object for payload execution.,defense-impairment|privilege-escalation,execution|persistence|privilege-escalation,0.997597546699249,Qilin,T1484.001,Group Policy Modification
Hi-Zor has the ability to upload and download files from its C2 server.,command-and-control,command-and-control|exfiltration,0.9975420302639703,Hi-Zor,T1105,Ingress Tool Transfer
"FIN13 has gathered stolen credentials, sensitive data such as point-of-sale (POS), and ATM data from a compromised network before exfiltration.",collection,collection|exfiltration,0.9974323610829238,FIN13,T1005,Data from Local System
Spica can archive collected documents for exfiltration.,collection,collection|exfiltration,0.9974110641862093,Spica,T1560,Archive Collected Data
Daggerfly has used strategic website compromise for initial access against victims.,initial-access,initial-access|resource-development,0.9973031725339927,Daggerfly,T1189,Drive-by Compromise
Lokibot has used PowerShell commands embedded inside batch scripts.,execution,execution|stealth,0.9972807164363051,Lokibot,T1059.001,PowerShell
"SMOKEDHAM has modified registry keys for persistence, to enable credential caching for credential access, and to facilitate lateral movement via RDP.",defense-impairment|persistence,credential-access|defense-impairment|persistence|privilege-escalation,0.9971608636034679,SMOKEDHAM,T1112,Modify Registry
Crutch has established persistence with a scheduled task impersonating the Outlook item finder.,stealth,execution|persistence|privilege-escalation,0.9970977396696501,Crutch,T1036.004,Masquerade Task or Service
Spica has created a scheduled task named `CalendarChecker` for persistence on compromised hosts.,stealth,execution|persistence|privilege-escalation,0.9970777239224483,Spica,T1036.004,Masquerade Task or Service
"HyperBro has used a legitimate application to sideload a DLL to decrypt, decompress, and run a payload.",execution|stealth,stealth,0.9970257466041348,HyperBro,T1574.001,DLL
Dtrack can remove its persistence and delete itself.,stealth,persistence|stealth,0.9970197867077173,Dtrack,T1070.004,File Deletion
"TrickBot uses the Windows API call, CreateProcessW(), to manage execution flow. TrickBot has also used Nt* API functions to perform Process Injection.",execution,execution|stealth,0.9966737669614023,TrickBot,T1106,Native API
